CTA2,CTA3,CODCTA,DEBE00,HABER00,DEBE01,HABER01,DEBE02,HABER02,DEBE03,HABER03,DEBE04,HABER04,DEBE05,HABER05,DEBE06,HABER06,DEBE07,HABER07,DEBE08,HABER08,DEBE09,HABER09,DEBE10,HABER10,DEBE11,HABER11,DEBE12,HABER12,DEBE13,HABER13
10,200,10100100,9517144.96,9514560.68,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100200,593617.50,555133.87,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100300,39969.37,39969.37,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100400,3845.92,2545.92,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100500,12812.38,12696.23,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100600,26979.70,26979.70,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100700,20454.93,20455.43,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100800,7616.25,7616.25,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10100900,3079.40,2779.40,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10200100,9146.40,492.40,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10200200,1187.70,201.50,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10200500,0.00,350.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10200600,700.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10300200,13604.00,13936.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10400100,49882392.59,49938381.73,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10400200,42045760.92,41064164.44,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10400300,664460.00,664772.94,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10400400,1952020.00,1952320.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10410100,15952028.66,16159406.50,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10410200,31157204.39,29747174.39,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10410300,7653570.33,8493110.55,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10410400,1241331.03,1235700.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10420100,43132737.82,44587889.25,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10420200,93060816.10,92591212.59,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10420300,128279.00,131054.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10430100,28390067.76,28002506.06,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10430200,95647782.38,104983913.35,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10430210,32224510.90,25133709.37,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10440100,4881569.03,4846419.78,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10440200,22566554.04,22516991.16,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10440500,10073424.78,8836513.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10500100,1039063.68,34710.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10888800,61479666.18,61489667.08,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,10900000,42330369.67,41662348.04,,,,,,,,,,,,,,,,,,,,,,,,,,
12,200,12100000,133491802.48,130533044.77,,,,,,,,,,,,,,,,,,,,,,,,,,
12,200,12200000,45406347.43,44303544.05,,,,,,,,,,,,,,,,,,,,,,,,,,
12,200,12300000,273261.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
12,200,12400000,38832.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14000000,10.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14001000,98.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14100000,1210798.25,618011.05,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14100100,1522503.68,976897.42,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14100200,0.00,717.13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14200000,571572.94,269867.23,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14201000,0.00,1418.19,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,14700000,10993.73,1165919.80,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200,16100000,1170975.00,2873600.00,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200,16200000,5164787.72,3392032.96,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200,16300000,1701500.00,1759500.00,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200,16400000,4083.85,2958.85,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200,16500000,42573.80,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
19,200,19200000,0.67,72981.67,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26100100,3384484.79,5669512.80,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26100200,2828084.18,76265.05,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26100300,354667.16,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26200100,315471.83,680480.29,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26200200,310890.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26200300,38865.89,7483.19,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26300100,1090247.69,2689870.94,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26300200,1397840.88,45860.55,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26300300,225728.57,9328.39,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26310000,433294.05,475620.95,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26500000,12133.65,6640.78,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26500300,18908.93,31111.02,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26600000,163954.11,163117.45,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200,26900000,43334.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
28,200,28100000,868.75,868.75,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33100100,252676.93,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33200100,42662.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33300100,90863.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33300200,547211.85,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33400000,37683243.07,11123016.97,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33500000,307048.71,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33600000,384965.00,4718.44,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33700000,1183718.42,27051.79,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33800000,5183.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200,33900000,24189636.10,4629761.38,,,,,,,,,,,,,,,,,,,,,,,,,,
34,200,34100000,433910.30,433910.30,,,,,,,,,,,,,,,,,,,,,,,,,,
34,200,34200000,133112.80,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38100100,0.00,1314.74,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38100200,8531644.95,11428810.03,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38200100,859602.37,413385.36,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38200200,4140042.44,3542188.79,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38300000,420572.16,394487.12,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38400000,16279944.05,15746860.28,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38410000,7303401.53,7165148.81,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38420000,646187.89,637970.57,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38900000,18299.94,11341.23,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,38900200,6323804.79,619881.73,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39400000,10190223.23,31717260.43,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39500000,51.63,758114.65,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39600000,9597.55,399020.90,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39700000,98950.23,344062.22,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39800000,0.00,1496963.01,,,,,,,,,,,,,,,,,,,,,,,,,,
39,200,39900000,3208973.51,4437923.81,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40000000,25.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40100000,22655104.27,23987939.29,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40100100,1059136.22,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40100200,531473.24,577797.66,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40200000,335928.00,70537.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40300100,1020241.29,931714.27,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40300200,76041.00,70350.34,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40300300,1377166.00,1387498.49,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40400100,666471.78,703593.94,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40400200,0.00,3067.55,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40400300,63526.52,37399.83,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40500100,1417075.00,1489850.06,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40500200,395379.00,446977.18,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40600100,11968.00,11929.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40600200,2.00,142.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40700100,58156.34,21376.81,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40700200,412.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40700300,128663.00,151877.90,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40800000,107025.63,39056.80,,,,,,,,,,,,,,,,,,,,,,,,,,
40,200,40900000,165248.54,193165.41,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41000000,0.00,2564.33,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41100100,18843551.82,16474308.37,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41100200,0.00,235821.46,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41200100,1653.75,750103.91,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41300000,12786.40,165222.86,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41400100,5181.53,237428.40,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41400200,0.00,56898.04,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41500100,2350450.07,3743704.30,,,,,,,,,,,,,,,,,,,,,,,,,,
41,200,41500200,4533.00,13590.18,,,,,,,,,,,,,,,,,,,,,,,,,,
42,200,42100000,102812310.62,103576692.79,,,,,,,,,,,,,,,,,,,,,,,,,,
42,200,42800000,0.00,8620.20,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46100100,793430.39,1918158.12,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46100200,58577.09,5866740.66,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46100300,35661711.35,44185268.87,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46100400,353784.17,5866024.92,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46200100,2207186.73,2298905.13,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46200200,0.00,46173.30,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46300100,514189.21,115331.81,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46400100,88871.25,150507.10,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46400200,1098415.04,3425124.55,,,,,,,,,,,,,,,,,,,,,,,,,,
46,200,46900100,1904873.78,1000021.66,,,,,,,,,,,,,,,,,,,,,,,,,,
47,200,47100100,1782949.13,1795029.64,,,,,,,,,,,,,,,,,,,,,,,,,,
47,200,47100200,165.50,3355.00,,,,,,,,,,,,,,,,,,,,,,,,,,
50,200,50100100,0.00,11505840.00,,,,,,,,,,,,,,,,,,,,,,,,,,
50,200,50800000,659772.00,599833.00,,,,,,,,,,,,,,,,,,,,,,,,,,
58,200,58000000,0.00,410700.19,,,,,,,,,,,,,,,,,,,,,,,,,,
58,200,58900000,31161.76,1056733.57,,,,,,,,,,,,,,,,,,,,,,,,,,
59,200,59000000,1538564.33,226246.66,,,,,,,,,,,,,,,,,,,,,,,,,,
59,200,59100000,3504710.83,4261524.68,,,,,,,,,,,,,,,,,,,,,,,,,,
59,200,59300000,246640.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
59,200,59900000,2683488.88,1945940.37,,,,,,,,,,,,,,,,,,,,,,,,,,
